cell	leg	cond	arm	ret_task	served	T	out	wall_s	turns_sent	done_reason	end_marker	verdicts	tests	retained	ret_class	w1_fenced	given	tokenscan	n_leak	field	card_extras	stmt_lines	false_done	run_verdict	cmds	n_meter	cr	inp	think
l7sprp02	BS-pro	cells-l7-lru-pro-plain-stmt-bf	plain	LRU	gemini-3.1-pro-high	1075322	13811	177.8	3	LANDED	ENDED 2026-09-18T20:20:19Z LANDED landing-1 3ff6aebca2bf	PASS	16/16	0.981	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	1/14	1	920432	141079	6948
l7sprp03	BS-pro	cells-l7-lru-pro-plain-stmt-bf	plain	LRU	gemini-3.1-pro-high	1704567	15062	207.1	3	LANDED	ENDED 2026-09-18T20:23:59Z LANDED landing-1 62b65740a7f4	PASS	16/16	0.961	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	5/20	1	1531421	158084	6116
l7sprs01	BS-pro	cells-l7-lru-pro-salt-stmt-bf	salt-diet	LRU	gemini-3.1-pro-high	12346374	72997	1540.8	4	LANDED	ENDED 2026-09-18T20:51:17Z LANDED landing-1 9274e8fc36a6	PASS	16/16	0.318	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	42/115	1	11421247	852130	40544
l7sprs02	BS-pro	cells-l7-lru-pro-salt-stmt-bf	salt-diet	LRU	gemini-3.1-pro-high	13573895	68655	1994.2	4	LANDED	ENDED 2026-09-18T21:42:25Z LANDED landing-1 60e44df74c71	TRUNCATED|PASS	16/16	0.126	REPLACED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	53/111	1	12702452	802788	30056
l7sprs03	BS-pro	cells-l7-lru-pro-salt-stmt-bf	salt-diet	LRU	gemini-3.1-pro-high	28284577	104126	2003.8	4	LANDED	ENDED 2026-09-18T22:38:34Z LANDED landing-1 b6f73cf514e6	TRUNCATED|FAIL	10/16	0.309	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	95/200	1	26230526	1949925	57739
l7spzp01	BS-pro	cells-l7-lzw-pro-plain-stmt-bf	plain	LZW	gemini-3.1-pro-high	1468162	16180	193.1	3	LANDED	ENDED 2026-09-18T23:04:23Z LANDED landing-1 d38b01e95712	PASS	8/8	0.990	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	5/18	1	1244608	207374	9612
l7spzp02	BS-pro	cells-l7-lzw-pro-plain-stmt-bf	plain	LZW	gemini-3.1-pro-high	1314076	19806	218.8	3	LANDED	ENDED 2026-09-18T23:08:29Z LANDED landing-1 1c468b383089	PASS	8/8	0.990	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	3/11	1	1101072	193198	15275
l7spzp03	BS-pro	cells-l7-lzw-pro-plain-stmt-bf	plain	LZW	gemini-3.1-pro-high	1675129	14172	198.1	3	LANDED	ENDED 2026-09-18T23:12:19Z LANDED landing-1 de1ce931c3a8	PASS	8/8	0.990	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	2/21	1	1458492	202465	7619
l7spzs01	BS-pro	cells-l7-lzw-pro-salt-stmt-bf	salt-diet	LZW	gemini-3.1-pro-high	18030505	129851	8224.3	7	LANDED	ENDED 2026-09-19T01:30:35Z LANDED landing-1 11f67498cea4	PASS	8/8	0.107	REPLACED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	37/86	1	16251849	1648805	78352
l7spzs02	BS-pro	cells-l7-lzw-pro-salt-stmt-bf	salt-diet	LZW	gemini-3.1-pro-high	10072157	106629	3080.1	5	LANDED	ENDED 2026-09-19T02:22:27Z LANDED landing-1 ec45e8a8eac8	PASS	8/8	0.348	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	30/70	1	9116213	849315	65632
l7spzs03	BS-pro	cells-l7-lzw-pro-salt-stmt-bf	salt-diet	LZW	gemini-3.1-pro-high	19782278	98747	4375.1	5	LANDED	ENDED 2026-09-19T03:40:02Z LANDED landing-1 7e92ea12bd75	TRUNCATED|PASS	8/8	0.279	REPAIRED	COVERED	GIVEN-OK	CLEAN	0	brownfield	statement	1	0	OK	56/127	1	18424364	1259167	46176
